step,coverage,cum_time,info_gain,overlap,fail,dt
6.000000000000000000e+01,5.775694444440433450e-01,2.631068242938056301e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
6.100000000000000000e+01,5.775694444440433450e-01,2.670310254403389205e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
6.200000000000000000e+01,5.775694444440433450e-01,2.702540500177192939e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
6.300000000000000000e+01,5.775694444440433450e-01,2.753365961456038402e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
6.400000000000000000e+01,5.775694444440433450e-01,2.791664365477021903e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
6.500000000000000000e+01,5.775694444440433450e-01,2.842446241647037297e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
6.600000000000000000e+01,5.775694444440433450e-01,2.893271702925882760e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
6.700000000000000000e+01,5.775694444440433450e-01,2.943173175793423191e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
6.800000000000000000e+01,5.775694444440433450e-01,2.976519483209809636e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
6.900000000000000000e+01,5.775694444440433450e-01,3.008749728983613370e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
7.000000000000000000e+01,5.775694444440433450e-01,3.057693100302388167e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
7.100000000000000000e+01,5.775694444440433450e-01,3.108464072549046442e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.077097224665848979e-02
7.200000000000000000e+01,5.775694444440433450e-01,3.147706084014379346e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
7.300000000000000000e+01,5.775694444440433450e-01,3.198487960184394741e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
7.400000000000000000e+01,5.775694444440433450e-01,3.231834267600781185e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
7.500000000000000000e+01,5.775694444440433450e-01,3.282605239847439460e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.077097224665848979e-02
7.600000000000000000e+01,5.775694444440433450e-01,3.331548611166214258e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
7.700000000000000000e+01,5.775694444440433450e-01,3.370790622631547162e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
